day_label,date,activity,type,time_1,timezone_1_label
November 4,2026-11-04,Arrivals & Check-in,break,08:30,Time (PT)
November 4,2026-11-04,Welcome (Tian Rabbani),activity,09:00,Time (PT)
November 4,2026-11-04,Module 1 - Erin Pleasance,activity,09:30,Time (PT)
November 4,2026-11-04,Break (30min),break,10:30,Time (PT)
November 4,2026-11-04,Module 1 Tutorial (Tentatively),activity,11:00,Time (PT)
November 4,2026-11-04,Lunch (1h),break,13:00,Time (PT)
November 4,2026-11-04,Module 2 - Erin Pleasance,activity,14:00,Time (PT)
November 4,2026-11-04,Break (30min),break,15:00,Time (PT)
November 4,2026-11-04,Module 2 Lab - Erin Pleasance,activity,15:30,Time (PT)
November 4,2026-11-04,Finished,break,17:30,Time (PT)
November 5,2026-11-05,Arrivals,break,08:30,Time (PT)
November 5,2026-11-05,Module 3 - Ido Hatam,activity,09:00,Time (PT)
November 5,2026-11-05,Break (30min),break,10:00,Time (PT)
November 5,2026-11-05,Module 3 Lab - Ido Hatam,activity,10:30,Time (PT)
November 5,2026-11-05,Class photo + Lunch (1h),break,12:30,Time (PT)
November 5,2026-11-05,Module 4 - Ido Hatam,activity,13:30,Time (PT)
November 5,2026-11-05,Break (30min),break,14:30,Time (PT)
November 5,2026-11-05,Module 4 Lab - Ido Hatam,activity,15:00,Time (PT)
November 5,2026-11-05,Finished,break,17:30,Time (PT)
November 6,2026-11-06,Arrivals,break,08:30,Time (PT)
November 6,2026-11-06,Module 5 - Ido Hatam,activity,09:00,Time (PT)
November 6,2026-11-06,Break (30min),break,10:00,Time (PT)
November 6,2026-11-06,Module 5 Lab - Ido Hatam,activity,10:30,Time (PT)
November 6,2026-11-06,Class photo + Lunch (1h),break,12:30,Time (PT)
November 6,2026-11-06,Module 6 - Ido Hatam,activity,13:30,Time (PT)
November 6,2026-11-06,Break (30min),break,14:30,Time (PT)
November 6,2026-11-06,Module 6 Lab - Ido Hatam,activity,15:00,Time (PT)
November 6,2026-11-06,Survey & Closing Remarks,activity,17:00,Time (PT)
November 6,2026-11-06,Finished,break,17:30,Time (PT)
